"a","b"
"-6087711","586687992"
"-6087706","689949477"
"-6087706","690998419"
"1209453107","-1949080"
"1209453107","586687992"
"1209453107","-357981"
"1209453107","-304716"
"1209453107","-17453159"
"1209453107","-8269590"
"1209453107","690998419"
"1209453107","-307573"
"1209453107","-16356799"
"1209453107","-16357238"
"-16357238","-307573"
"-16357238","-16356799"
"-16357238","1209783404"
"-16357238","586687991"
"-307573","-16356799"
"-307573","-16357238"
"-307573","1209783404"
"-307573","1210893786"
"-1949080","1209783404"
"-16356799","-307573"
"-16356799","-16357238"
"-16356799","689949477"
"586687986","586687992"
"586687986","-16358876"
"586687986","-6104689"
"586687986","1209783404"
"586687986","689949477"
"-8269590","1209783404"
"-8269590","1210893786"
"-304716","-357981"
"-304716","-17453159"
"-304716","1209783404"
"-304716","1210893786"
"-304716","-357981"
"-304716","-17453159"
"-17453159","-357981"
"-17453159","-304716"
"-17453159","1209783404"
"-17453159","1210893786"
"-17453159","-304716"
"-17453159","-357981"
"-357981","-304716"
"-357981","-17453159"
"-357981","1209783404"
"-357981","1210893786"
"-357981","-304716"
"-357981","-17453159"
"-1949080","1210893786"
"225413460","1220476329"
"-8269590","1210893788"
"586687991","-16357238"
"586687991","-16358876"
"586687991","-6104689"
"586687991","586687989"
"586687991","1210893786"
"-304716","1210893788"
"-304716","-17453159"
"-304716","-357981"
"-304716","-357981"
"-304716","-17453159"
"-357981","1210893788"
"-357981","-304716"
"-357981","-17453159"
"-357981","-304716"
"-357981","-17453159"
"-17453159","1210893788"
"-17453159","-304716"
"-17453159","-357981"
"-17453159","-304716"
"-17453159","-357981"
"-6109506","-6109503"
"-6109506","-16384986"
"-6109506","586690210"
"1210893788","-304716"
"1210893788","-357981"
"1210893788","-17453159"
"1210893788","-8269590"
"1210893788","586687991"
"1210893788","586690210"
"1210893788","-307573"
"1210893788","-1949080"
"1210893788","-16384986"
"1210893788","-6109503"
"-6109503","586687989"
"-6109503","-6109506"
"-6109503","-16384986"
"-16384986","586687989"
"-16384986","-6109506"
"-16384986","-6109503"
"-6109506","586687989"
"-6109506","-16384986"
"-6109506","-6109503"
"1210893786","-307573"
"1210893786","586687989"
"1210893786","586687991"
"1210893786","-1949080"
"1210893786","-304716"
"1210893786","-17453159"
"1210893786","-357981"
"1210893786","-8269590"
"-9634557","755586319"
"-10411649","755591635"
"-9634557","-9649510"
"-9634557","755586322"
"641787734","846965471"
"1338327013","1381338364"
"1338327025","1338327024"
"-1949080","-9649510"
"228681357","389716317"
"228681357","232178226"
"228681357","792041620"
"228681357","152809568"
"-19969313","-9677610"
"-19969313","755586321"
"1245835585","181051542"
"1245835585","1355330870"
"1245835585","1355330871"
"1245835585","846965471"
"1245317855","1355330872"
"1245317855","1425624509"
"1355330873","1355330874"
"1355330873","1425624512"
"1355330870","1355330879"
"1355330870","1355330877"
"1355330870","1245835585"
"1355330871","1355330881"
"1355330871","1245835585"
"1355330872","1355330881"
"1355330872","1245317855"
"1355330874","1355330879"
"1355330874","1355330873"
"1355330881","1355330882"
"1355330881","1355330871"
"1355330881","1355330872"
"1425624510","1245332280"
"1425624510","1425624509"
"1425624511","1425624512"
"1425624511","1338327023"
"1245332280","1425624510"
"1245332280","1381338363"
"755586319","1235784221"
"755586319","-8269590"
"755586319","755591635"
"755586319","585656425"
"755586319","-9634557"
"-1942920","-9649510"
"-1942920","1235784221"
"-1942920","1253446774"
"-1942920","1112759869"
"-9649511","755586320"
"-9649511","585656425"
"586687990","1253446774"
"-17453159","45673154"
"-17453159","-304716"
"-17453159","-357981"
"-304716","45673154"
"-304716","-357981"
"-304716","-17453159"
"-357981","45673154"
"-357981","-304716"
"-357981","-17453159"
"-307573","45673154"
"586687984","-8269590"
"586687984","-1949080"
"586687984","45673154"
"586687984","1253446774"
"-1798824","585656425"
"-1798824","1253446774"
"1112759869","-8269590"
"1112759869","-1949080"
"1112759869","-1942920"
"1112759869","45673154"
"1112759869","585656425"
"1210893799","1210893797"
"1210893799","-304716"
"1210893799","-357981"
"1210893799","-17453159"
"1210893799","586690210"
"1210893799","-8269590"
"1210893799","-307573"
"1210893799","-1949080"
"1210893799","-16384986"
"1210893799","-6109503"
"-6109507","1210893797"
"-6109509","586690210"
"-16384986","-6109503"
"-16384986","-6109503"
"-304716","-357981"
"-304716","-17453159"
"-304716","1210893799"
"-304716","-17453159"
"-304716","-357981"
"-357981","-304716"
"-357981","-17453159"
"-357981","1210893799"
"-357981","-17453159"
"-357981","-304716"
"-16384986","-6109503"
"-16384986","-6109506"
"-16384986","1210893788"
"-16384986","1210893799"
"-16384986","-6109503"
"-6109503","-16384986"
"-6109503","-6109506"
"-6109503","1210893788"
"-6109503","1210893799"
"-6109503","-16384986"
"-8269590","1210893799"
"-307573","1210893788"
"-307573","1210893799"
"1423645744","1423645745"
"1423645744","1425624561"
"1423645744","1425624575"
"1423645740","1423645741"
"1423645740","1425624560"
"1423645740","1425624574"
"1425624560","1425624572"
"1425624560","1423645740"
"1425624560","1425624574"
"1425624565","1425624572"
"1425624565","1425624571"
"1425735638","1425624569"
"1425735638","1425624571"
"1425735638","1425624570"
"1425624569","1425735638"
"1425624569","1425624571"
"1425624569","1425624570"
"1425624571","1425624563"
"1425624571","1425624567"
"1425624571","1425735638"
"1425624571","1425624569"
"1425624571","1425624565"
"1425624571","1425624561"
"1423645745","1423645742"
"1423645745","1423645744"
"1423645741","1423645738"
"1423645741","1423645740"
"1425624567","1425624572"
"1425624567","1425624571"
"1425624572","1425624564"
"1425624572","1425624566"
"1425624572","1425624568"
"1425624572","1425624567"
